New column 0,New column 1,New column 2
Muthupandy,Reviewed in India on 20 August 2022,Very low qty to print.
Prayash Das,Reviewed in India on 30 November 2021,A good printer under budget. The installation is complex. May require help.
Amitya Narayan,Reviewed in India on 3 June 2021,"Best in this price. Budget friendly.
The print quality is awesome for colour and black and white print both.
We never used printer before but installation was very easy.
Yes, print speed is bit slow but we don't need to open a shop, in 3400 INR it serves more than it needs to be. Scanner is awesome and fast too. I am truly satisfied with the purchase.
It is being used frequently by all of us in our family."
Arun Nagipogu,Reviewed in India on 20 June 2021,Cheap price but expensive maintenance. Cartridges are very expensive and prints very less pages.
Amazon Customer,Reviewed in India on 2 January 2021,Printer delivered with broken catridge And scruffs and marks all over the printer . Replaced the order with a new one after raising a complaint.
walter,Reviewed in India on 24 November 2021,"This printer is cheaper to buy, works, prints excellent. However barely I printed 50 copies cartridge dried up and it's costly to buy. Buying 3 cartridges is equal to a new printer. It's better to print outside."
yacxilanartwear,Reviewed in India on 20 February 2023,Basically its robbery ! nothing worked ...they sold me a box of plastic ...
ddas-eden,Reviewed in India on 13 November 2020,This printer is worth given its price. The print speed is not that great but it does the job. After about 2 years the USB heads have rusted
Neha,Reviewed in India on 25 August 2019,"The cartridge is too costly to maintain. Once the ink is finished, we can't refill the cartridge with the ink. Even if we try to fill the cartridge with the ink, the pages turn out to be blank or void of the respective color. Hence, the cartridge has to be replaced again, which makes it very costly to maintain."
priya raj,Reviewed in India on 21 December 2021,Nice product
Baburam Bishnoi,Reviewed in India on 1 October 2022,मुझे इस आइटम को चलाने की जरूरत नहीं पड़ी लेकिन लगता है कि अच्छा ही होगा
Amazon Customer,Reviewed in India on 20 December 2021,
Kusum K.,Reviewed in India on 24 November 2021,It is easy to install.
Harikumar,Reviewed in India on 24 May 2021,"Its good for home use only, that means if you don't need a regular use of it.
Its is absolutely not economical for regular use since cartridge is of high cost"
Sayam khan,Reviewed in India on 24 June 2022,Worst printer in the world ..... like throwing your money in the garbage not even 1 star ..... not able to connect in laptop / mobile tried everything .... the ink that came with it was over in 1 day after that again I purchased a new ink but its not working complete waste of money and on top of that these shameless HP support people won't reply to your calls / mails /tweets no customer support at all want to return this garbage
pallav,Reviewed in India on 13 February 2023,"Worst printer ever, the ink is very low, need to replace the cartridge after only 20-30 pages."
NISHANT,Reviewed in India on 9 February 2023,Never buy if you are a macbook user. Brand new product out of use. Amazon should specifically highlight compatibility
Varun,Reviewed in India on 21 June 2022,"This model is apt for personal use.
If u are a student ,
Want prints of recent updates , forms ,
If u are working on a dissertation,
Works well.
Add on HP805XL cartridge n u are set!"
ARgg,Reviewed in India on 27 October 2020,As of price the print quality is not that good. Also print cost too high. But it's really easy too install... Overall you can go for other printers.
Ashish Jha,Reviewed in India on 31 December 2021,"I usually don't write negative reviews, because I don't like to spread negativity. But I absolutely had to write this review to let people know NEVER to buy this piece of junk, even by mistake.

It prints exactly 4 - 5 pages with every refill, and that's it!

Yes, its that pathetic...

1 printer refill = Rs. 800. So essentially, you're paying Rs. 800 for 5 pages of print.

HP should be ashamed for selling this piece of crap in the open market.

NEVER buy this piece of crap, even if someone gives it to you for free."
Xoz,Reviewed in India on 18 September 2021,"Good Product. Worth for 3k.
Don't expect too much. It's for small business or home Only"
Amazon Customer,Reviewed in India on 5 October 2020,It's a good printer for the price only drawback is the paper feeder is on top paper doesn't remain stiff and gets folded so a bit disappointed with that
SACHIN PARSE,Reviewed in India on 14 November 2021,Scanning quality is good. I brought this printer only for scanner. Happy with this product.
RAJESH KANTI SAHA,Reviewed in India on 31 August 2022,It is very good Printer. Printing quality is excellent. But printing cost is high. P/page minimum Black&White ₹.7.5 and Colour P/Page ₹.9 - 10
Narendar,Reviewed in India on 24 September 2021,"Overall item is good,but maintenance cost is more,I used 75 pages for print cartridge over , cartridge is very expensive"
Sudhir sahani,Reviewed in India on 24 December 2021,"It's easy to use, and suitable for home use"
Amazon Customer,Reviewed in India on 22 July 2020,The printer has stopped working...even though the black cartridge is not finished but the printed has stopped working...I got this printer on 29th june....its been only few days its performance is not good...
Nazeer,Reviewed in India on 19 June 2022,"Previously I had CANON printer and it successfully worked for 4 years with no problems. But this printer come scanner stopped printing just after 1 year. The print heads go dry very very quickly and I had to replace the black one with 1/4 ink remaining as it was not printing. Now the new black head also stopped printing with 3/4 ink remaining.
Either the fault is with the printer or the HP print heads they manufacture. WORST PRODUCT. PLEASE GO FOR INK TANK PRINTERS ONLY."
KUBER KUMAR,Reviewed in India on 27 January 2020,"Everything ok but the black cartridge which was sent with the printer is not a sealed one. The head was in dry stage. I again ordered for a new one which costs me Rs 759.
This is the drawback in purchasing this kind of item from Amazon."
K.HEMACHANDRAREDDY,Reviewed in India on 17 December 2018,The printer called is very best than compared to 10000 worth of rupees printer and I am using the printer for my life time user can have that why because the printing called is superior than Canon laser are made any Epson printer I am using the cartridge buy refilling the ink by injecting so the print rate for each black and white pages but at least 10 piece just timepass only and the colour print called as a 25 may be when you are using refilling the cartridge through injection so I already purchased some of ink refilling in c m y k from your Amazon website they also good everything is good regarding this product I give five out of 5 marks
Rachitha karle,Reviewed in India on 23 August 2022,Poor quality printing
Rajeev Nair,Reviewed in India on 31 March 2023, Waste of money...... Scrap item delivered
Girish thakur,Reviewed in India on 9 September 2021,It is very good printer in this price
ganie rashid,Reviewed in India on 12 October 2020,The main thing that is missing is the CD vdout which itz totally non functional.the box doesn't contain driver cd that is totally non seriousness of the seller...
FP Lalthathanga,Reviewed in India on 1 March 2016,"First of all, Thank you Amazon.in for amazing service. I got the product safely a day before expected delivery date. It was amazing and impressive.

The product (Printer) is good and worth of money. I think it will be one of the best available for this price. The only cons I notice is it produces little bit noise during printing otherwise perfect. I get all the accessories as how it would be.

I recommend to for this who is looking for a printer within this price."
saurabh saxena,Reviewed in India on 16 September 2021,It didn’t work in my MacBook Air
Mohammad sahibe alam,Reviewed in India on 14 December 2021,Good quality
krushna padhi,Reviewed in India on 10 January 2021,It prints only 100 pages... So printer is good but its cartridge is too costly. U need to expense 700rs per 100 pages.
Arijit Maity,Reviewed in India on 21 February 2020,"Should not be bought. Low price and print quality is very good.The on.ly problem is that it is very costly, and the price of a cartridge is Kala-750-800, on the other hand the price of a color cartridge is 900-1200 and from that black print will give 70-80, i.e. 70 × 2 = 140 rupees is being printed.😠😠😠😡"
Shruti dalela,Reviewed in India on 29 September 2020,Good but it ink consumption is very high and it is better to say print is cheaper than ink also its scanner quality is not so good if u r buying for scanner purpose than buy 5500 hp printer i am using it too
Martian,Reviewed in India on 12 October 2022,It's hard to install and use this printer. instructions are useless since it's not enough. You can't scan or do anything without connecting to internet and signup for an account. This is 2022 and HP is living in world war 2 where in Nazi Germany was forcing people to do things.
Aishwarya,Reviewed in India on 28 August 2022,Kindly process the return of thos item. This is not satisfactory product. Its taking a lot of time and isn't even getting installed I would like to return this back. I tried installing the app but again that is talking great amount of time. I amm highly pissed. Even after paying up so much now I have to install an app to connect this..
Rajat.kohli,Reviewed in India on 9 November 2021,Printer is not bad but cartiage is very expensive. It prints only 80 pages.
Anurag Kumar sahu,Reviewed in India on 5 November 2020,"Colour problem error showing always new cartridge in 1to 2 5 days error showes plz don't buy this product👈
Buy ink tank not ink jet 👈"
Martin Louis,Reviewed in India on 30 August 2022,We like very much easy install.very easy to use.overall very very useful.we are happy to that we bought this product thankyou
Vineeta Devi,Reviewed in India on 11 March 2021,Everything is good but 4 star is only for scanning as u cannot scan more documents continuously and if u do so u lose everything u scanned and u have to start again.
suresh kallara,Reviewed in India on 1 February 2022,Some good
Jatindra kumar Behera,Reviewed in India on 26 October 2022,I like due to its working style
Dipali,Reviewed in India on 24 December 2020,"I have took three prints until now (all black) and they all are dark and legible. There is no flaw with printing as such, However, the scanner is not working when attaching the device to the laptop."
Alphonse Narisetty,Reviewed in India on 26 December 2020,Good but for some time this 803 cartridge was not available for some time recently I purchased 803 cartridge not yet stars usage
Deepali jain,Reviewed in India on 4 January 2022,I like this printing quality
mukesh mali,Reviewed in India on 25 August 2022,"The product stopped working in 10 days now It's been 1 month since I'm chasing HP Service for repair/replacement.

They just create a new ticket and ask to wait for 24-48 hrs for a technician to visit.

I'm still waiting for a fix.

I made a mistake, please don't buy this if you want to save time and energy."
Akash Shukla,Reviewed in India on 22 December 2019,"delivery was pretty good.
printer is good, print quality is much better.
single paper struck inside printer, not holding a single paper.
can print every type of paper.
but cartridge problem.
after filling my colour cartridge 4 to 5 times its showing that cartridge is not working."
Tamil Server Tech,Reviewed in India on 10 November 2020,"A fantastic printer for this price.

You can only use this for your homes.

Keep it to yourself if you run out of ink in it.

Buying a new cartridge can be expensive.

My mark 70%"
Asif,Reviewed in India on 2 February 2021,"For the price, good for scanning, but catridge printers are the wrong choice if you have too much to print."
chandru,Reviewed in India on 30 August 2021,I want do replacement of my Printer..1 yr Warranty prefer so i want do change or please do service
Maheshwaran,Reviewed in India on 1 February 2021,not a super printer. does the job. Print cost is high. Especially not good for photo printing.
JOYDEEP DAS,Reviewed in India on 24 July 2020,"If you want a cheap moderate printer then its ok. Keeping in mind to use for 2 to 3 yrs of moderate usage as catriges cost sky high.
Else go for tank printers if you want high usage at cheaper cost.
Think thoroughly before choosing.
Goodluck."
Altaf Shaikh,Reviewed in India on 2 January 2022,Good for home 🏡 use
Avita,Reviewed in India on 17 May 2022, Very very amazing printer good colour fast print very easy to print but one thing you guys should not do is do not buy extra cartilages because they come damaged but the cartilages with printer are good anyway guys buy this if you are searching one
Kaustav Dutta,Reviewed in India on 3 August 2020,"No Driver CD, No Catridge received with this Printer. Only a link is mentioned and when its clicked, it takes you to download HP Smart Desktop Application from Microsoft Store.
For other drivers, I had to Google ® and download them, which is a cumbersome procedure"
Manojkumar,Reviewed in India on 10 September 2021,Perfect printer !! I'm happy after using it from last 2 days. good print quality at very reasonable price.
makdum,Reviewed in India on 18 March 2023,scan glass broken received
abdul azeez,Reviewed in India on 30 May 2021,Lucky thing is scanning quality was very good... Otherwise product is ok
Shahaji s.,Reviewed in India on 12 June 2021,It is nice but ink is to much costly.... Different to handle..
Sreeram avadhani,Reviewed in India on 3 December 2020,"easy to use the printer, need to download the application from hp website to connect with laptop, printing the paper is too good,scanner works good, only default is ink in the printer comes only for few papers"
Mansi,Reviewed in India on 1 March 2020,"Well better for less use ! If have more than 100 prints frequently then never ever go for it !
It's ink cartridge is very less and is for sometimes use!!(less use)
Really easy to instal and it has a problem MAJOR
u have to change the settings of paper size
Hope makes a sense"
9842651976,Reviewed in India on 28 July 2021,"1st week of July 21, I have purchased this product for my domestic purpose , Hardly taken around 10 printouts , From 15/07/21 printer not working, I have contacted HP Service center they assured within 48 hours issue will be resolved , but no one turned from HP , on 17/07/21 my complaint was closed by HP without resolving the issue , in the meantime return window with AMAZON was closed , then I wrote several mails but as on date printer in repair condition , Feeling depressed. It's like scam . I don't know what to do now. Friends think twice before go with HP products . They making us fool."
SANJEEV kumar jha,Reviewed in India on 19 May 2021,"There are some problem with this printer, please send a executive to service."
GAGANDEEP SINGH,Reviewed in India on 22 September 2021,Printer quality is good
Harsh kumar manikpuri,Reviewed in India on 15 January 2022,
Saravanan,Reviewed in India on 15 August 2020,"Product is good for the budget. Unable to get the specified 805 ink cartridges in any online sites including Hp store.
Printer is ideal now without the relevant cartridges."
Dheeraj jha,Reviewed in India on 31 October 2020,"No doubt, it makes a best quality printing but it's Cartridge is too expensive ,once installed only 150 pages can be printed , After shortage refilling the local ink not allowed .overall cheap product but costly maintainance."
Gopakumaran Nair,Reviewed in India on 31 March 2021,The cartridges are enormously expensive and use and throw. it cannot be refille and use.
Lalaram,Reviewed in India on 22 March 2023,Not working
sumit r.,Reviewed in India on 5 November 2021,Like it
Praveen,Reviewed in India on 29 October 2022,Great value for money
rajendra prasad,Reviewed in India on 4 October 2021,Cartridge volume very less
Yogesh,Reviewed in India on 6 April 2023, Worst of money
AKA,Reviewed in India on 28 July 2017,"Printer and Scanner is good. Print speed and Scan speed is Ok. But do not buy this product untill and unless you are ready to pay Rs.12 per 1 page print out. Because it contains HP 803 catridge which costs Rs.827 in amazon as on today i.e. 28-07-2017 and the rate is increasing day by day. And this catridge will give you 65 to 75 pages in normal print mode. And this printer and its software will not be allowing you to refill the catridge. other brand low price catridges will also be not accepted by the printer. You must buy original 803 catridge of HP. Don't think that you can do something with youtube videos and will use the printer by refilling catridge or something. The software is unbreakable. Even if you refill, the software automatically stops printing after 100 pages or so, even though it contains enough ink. This is best suitable for corporate companies but not for normal home purpose."
prasad_jkv,Reviewed in India on 17 April 2021,"Everything is okay
But it's taking cartridge is high

Print quality is not up to mark
Surely getting color variations after print out"
Amrita Harshavardhan Sharma,Reviewed in India on 26 July 2022,"Very good printer/ scanner.. For home specially for kids projects. Easy to install.. I m using it for past 1 month, and the result is good.."
Sherman Dawson Dias,Reviewed in India on 14 July 2020,"HP DeskJet 2131 Is an amazing Printer to go for in A budget option. Although it's a cheaper option the printer is pretty good You can Print, Scan & copy[zerox in both colour and b&w].
If you use a good quality paper results are extraordinary.
A few cons.
1. The stock carterage is terrible it's a very poor quality.
2. Carterages are not reusable
3. I received a damaged carterage.
4. Cost cutting is highly observed over the printer.
5. Also no proper information on how to use the printer via laptop"
Ram d.,Reviewed in India on 30 September 2020,"Printing cost will come down from 7 rupees per page to 50 paise if you know how to refill the cartridge.........
Overall printing is good with good prints and nice colours
And low initial buying cost at 3000 rupees"
Mohd Aakib,Reviewed in India on 29 July 2022,Paper taking problem
Dinesh,Reviewed in India on 7 January 2022,Photo copy
Sib,Reviewed in India on 20 August 2021,Please work on the catridge thing
s k dikshit,Reviewed in India on 10 August 2020,"its black cartridge and ink is not good,even 20 pages were also not printed and its ink got fused, and the colour cartridge is not working from the begining."
Deepak Bulbule,Reviewed in India on 22 October 2019,"The print quality is good but I think it is too expensive to buy the cartridge once it get finish. One year happen that I brought the printer at my home but it is of no use now, because there is no cartridge in it......"
Kamal,Reviewed in India on 15 October 2022,"Printer catridge 805 not available anywhere including hp store, without catridge the printer is idle no use.please don't cheat people like this.If the product has no support from its manufacturer please don't list it.

Cartridges are very very very little life...
🥴🥴🥴🥴🥴
Poor product
Dont buy..."
Adithya Sankar,Reviewed in India on 23 February 2021,"Got less number of printouts
Black colour went out of ink just after 20 pages of printouts"
Nikita,Reviewed in India on 25 August 2021,Useful all in one printer
Amardeep Kumar,Reviewed in India on 22 October 2021,
Surabhi saral,Reviewed in India on 4 July 2021,Good value for money. Easy to use and operate. Setup was fine once I looked up some videos on YouTube.
Abhijeet,Reviewed in India on 21 January 2018,"Printer is good.but the only problem is with its cartridge and its printing cost,this is not a good choice for anyone,the new cartridge gave just 80 pages black print and vanished. New cartridge cost around Rs 981. So just calculate the printing cost is about Rs 12.25/page. So i don't recommend this printer for any purpose either home or office use."
Sahera Banu,Reviewed in India on 24 July 2020," Printer is working good but slow functionality......Also getting good, clear copies for photos and printouts using this printer.....more important thing is maintenance charge is more.....best for only home purpose in this price and other extra catridges, photo sheets and paper sheets need to purchase separately."
sudhakar Pandit,Reviewed in India on 22 December 2021,Best picture high quality
Yogesh,Reviewed in India on 20 April 2019,"Copy, Print and Scan functionalities in a good price. Though its like plug and play, easy to use but Print quality is poor and costly in terms of ink consumption. This is for them who needs to do paper stuff occasionally, not for those who needs to do frequently."
Amazon Customer,Reviewed in India on 22 August 2021,printer driver software cd missing.
Suraj sagar,Reviewed in India on 19 May 2021,"Today I purchased the Printer so as if now saying about printing or Printer is too Early.
But yes easy to Handle."
Vilas,Reviewed in India on 5 October 2020,"Print quality is excellent, more than expected, but catridge is not sufficient copis print. hardly can print only 5 to 6 colour A4 copies, also hp803 cartridge is expensive and cannot easily available."
Rajib,Reviewed in India on 21 August 2019,I was bale to take only one clor phpto print on a phot paper .After printing a single photo the Color Ink indicator is blinking was therafter not able to take a single print. To take black print out now I have to take the color catridge out and then take Black print out . Unable to take Color printouts thereafter. God know whether the original catridge got damahed or the Printers Color printing assembly. Awful product experience.
Pankaj Pant,Reviewed in India on 3 November 2020,"Installation is not an easy task, Driver provided by HP is not supported in PC having windows 8.1, additionally it required Microsoft.NET framework for fully operational. After that again having some issue of USB port."
Nithin,Reviewed in India on 19 December 2021,"The review is as of date, which is just one day after receiving the product.
So far very good. I could do all my required print scan and copying job in very good quality.
Very good quality scan and print.
Just for others to know, the product is very delicate, so handle with care."
The Pulse Oximeter is working fine. It has two functions. Reads oxygen and pulse works with two batteries with LED display. Switches off automatically once you remove from the finger. It is good working nicely due to COVID19 I purchased on medical opinion. N. Srinivasan,Reviewed in India on 24 November 2019,"Amazon No complaints with the H.P. Desk jet 2131 printer. It has scanner & copier also.
3 in 1. That is print, scan & copy. Working smoothly no complaints.
It's a value for money. Only the printer driver has to be downloaded from the Internet. N. Srinivasan"
Vivek Kumar Bhardwaj,Reviewed in India on 19 August 2018,"I am writing this review after 1 year, bought in July 2017 to meet my occasional prints need, was very much happy that I'm getting printer in very less price around 2500 which has, color, normal printing and scanning option would be great to have this, and finally I got it and used it happily but my happiness was not stay long when I realized that ink need refill. when I tried to buy cartridges, very much disappointed becoz it doesn't support refill, you have to buy new cartridges for both black/color print and for black it cost 900+ RS and Max you can print 100 copy.
so it's really costly right? you can easily get print from outside in 2/3 rs per copy max to max.
So my final suggestion would be if you are looking for your printing requirement and you think that it would cast less from outside, then you are wrong, for scanning you can go for it."
Ramesh,Reviewed in India on 11 July 2020,Printer is worth for this price. But I have some struggle an installation time. Because they don't given driver CD. We need a net connection for this installation time. All people don't have internet connection in home. This is the main issue.
Mohit katiyar,Reviewed in India on 4 February 2023,Worst experience had to change two cartage in two months not even printed 100 sheet
Ruma Mandal,Reviewed in India on 1 January 2023,"Zero star. Old item received. Cartridges was open and some used marks were there in printer. Later when I checked the box, packing tape was sticked again."
balaji,Reviewed in India on 22 November 2022,
jeel sonani,Reviewed in India on 24 May 2018,"Features
Tackle More Tasks for Less Cash
Print more for less, using the printer brand plus Original HP ink cartridges
Full of value print up to twice as many pages with Original HP high-yield ink cartridges
Reduce your Impact
Conserve resources without sacrificing performance using an all-in-one that’s Energy Star certified.

Just what you Need Right Away
Count on easy versatility. Print, scan and copy what you need quickly with a reliable all-in-one.

Easy from the Start
Get started in fewer steps. Easily set up this all-in-one to print, scan, and copy with simple controls.

Save your space with a compact all-in-one designed to fit on your desk, on a shelf, or anywhere you need it."
SHANKAR SINGH SONDHIYA,Reviewed in India on 10 January 2022,Good
Krishna,Reviewed in India on 12 November 2021,"Nice product 👍, print quality is good 😊"
Dhaval Sharma,Reviewed in India on 24 October 2022,Cartridge system not nice..
Mark Milton,Reviewed in India on 5 December 2021,Good! But Consumes More Ink!!....
Happy,Reviewed in India on 10 March 2022,Although the printer looks good n has good printing quality but the cartridges received with this pack doesn't work for a month and I had only taken out 15-20 pages. It's cartridges are very expensive and dries off quickly if not used regularly. When I reach out to customer support I didn't received any help regarding the same which was extremely disappointing n not expected from Amazon. Atlast I would say buy on your own risk n don't expect any customer support
Vv,Reviewed in India on 20 July 2021,Printer works great and affordable for both the printer and xerox machine. Only drawback is the catridge
S. K. PRAMANICK,Reviewed in India on 15 October 2020,"Printing quality really amazing. Ink consumption is bit more, but it is ignorable. It is not so handy for office heavy duty use. Now in the present situation of Work from home condition it is good fit. Do not take much of space, easy to set up. Ink cartridges are costly. No installation CD or support is supplied with the instrument. One have to download the driver online. That's become a big challenge sometime. Aesthetics and Printing efficiency are good."
Abhijit Chobiwala Tip,Reviewed in India on 8 August 2020,"The printer is a small cute baby. Takes less space and printout is satisfactory. Faced a small hindrance in installing. It NOT a plug and play. U need to download software to instal the printer.
Price worthy."
T. V.,Reviewed in India on 19 February 2023,This product is very poor quality. Do not get
ashutosh,Reviewed in India on 29 December 2021,Very good
dav,Reviewed in India on 23 August 2020,"Very easy to use and install
Good design
Does not take much space
Copy print and scan
Color and b/w
Good price

Few cons
- no wifi printing
- use cartidges hence frequent use required for maintenance"
Amazon customer,Reviewed in India on 29 August 2021,Product is easy to use with good quality print but build material looks cheap
Tathaggat (shyamohan),Reviewed in India on 9 October 2020,YOU CAN ASK ANY QUESTION REGAURDING THIS PRODUCT I WILL TRY WITHOUT BEST POSSIBLE SOLUTION THANKS. CHEAP ANDROID BEST FOR HOME
Raj,Reviewed in India on 27 December 2021,Great product
Ahmar Siddiqui,Reviewed in India on 27 September 2022,All features are of use to me hence useful to me
Ashish Karle,Reviewed in India on 2 October 2022,"best printer at this price
print quality is good"
Nafishnfsakhtar,Reviewed in India on 25 October 2020,Product was good but the printing per page is almost cost 10rs ...in one word if.u make money with one page atleast 50rs then.it is for u then.u can buy cartridges of this printer..
NABAKUMAR,Reviewed in India on 13 September 2021,"Print only 40 page , then no prient ,so i return item"
Shiva Kumar,Reviewed in India on 1 November 2022,
Renuka Khaple,Reviewed in India on 6 November 2022,"Not upto mark, the printer seems to be used one. No manual, no proper cover inside and there was back marks on the printer. All in one not worth the amount spent. First time such experience with Amazon."
Amazon Customer,Reviewed in India on 23 April 2022,I printed 100 pages and the ink is gone . Not economic. Print quality is also not good
pramod sabale,Reviewed in India on 29 July 2020,I did not get the CD rom inside the box.My main work to scan and forward the pdf files.so I need it to install on my pc..
Subramaniam R.,Reviewed in India on 27 June 2021,Requires an in-depth knowledge of HP printer's articles in the with refence to drives and model name.
Alwin Ramteke,Reviewed in India on 26 November 2020,"Please read till end , trust me please don't buy this , after one cartridge is empty if 164 prints are done from one cartridge it will show empty cartridge and one cartridge costs 1200 and if you use this printer so rarely the ink will dry up or if you refill an empty cartridge it will not print anything and buying new cartridge everytime it drains up it will cost you 2400 per month , it's better to buy a expensive printer rather than buying a cheap hp one and later knowing we were scamed it and even now you are not convinced than try printing some images of 2K and above it will print them near to 720 p there's no reason to buy this awful thing"
Puneet thakur,Reviewed in India on 2 November 2022, Replace tri colour ink
Sridhar Sri,Reviewed in India on 20 November 2020,"For this Price we can go for it, amazing printing & useful for home use & office use also."
athul chandran,Reviewed in India on 9 June 2022,"So the printer is pretty decent, for its price. Or so it seems. After about 30-40 prints, it starts showing error saying ink is about to run out. I tried the refill ink, which wasnt accepted. So basically, we may end up buying the catridge every month or so, which is too expensive and end up way more costlier than the printer itself. Nice little scam, team hp !!"
Pradeep Kumar Mishra,Reviewed in India on 30 October 2022,not any
Bhuvi,Reviewed in India on 5 July 2021,"Package is cool..print quality is awesome.
No idea about the ink
Still for this price it's okay"
Anusuya,Reviewed in India on 3 February 2021,"After 5 colour prints, ink became low. It is not printing the exact colour."
logeshwaran,Reviewed in India on 6 October 2016,"Actually I booked hp deskjet 2131 all in one
But the product delivered very late though I pay 100rs for one day delivery they promised the product will arrive before or on time of 8pm of 6th October 2016
I received outer box with hp 2131
But inside I checked with manual Ashwell as cd installation which has been mentioned hp 2130 series
I don't know where the fault have been
Very poor quality and inbuilt.
I can't able to detect which product I got
I think I fake one
Then I checked the product of scanning procedure
It's very very slow and the colour printout has no perfect quality
Waste of money.
If u want to waste your money buy this product that's all I can say
I got worst experience I never expect this from Amazon as well as hp and the seller
Plz don't buy this one
😤😡
U can buy cannon product which is pure quality of colour printout"
Mithilesh Sahu,Reviewed in India on 15 August 2022,"Easy to install and easy to operate, Print quality is also good, I like it very much."
Customer,Reviewed in India on 24 June 2021,Ink is move expensive than printer
Rohith,Reviewed in India on 31 December 2020,It's a nice and cheaper printer from hp for home use..... Nice print quality and with good scanning quality. Overall its recommended for home use
Saroj manoj mishra,Reviewed in India on 30 July 2021, Problem in installation
Mahir haneef,Reviewed in India on 28 December 2020,"Have been using the printer for about a month. It's very good for home use. I'm sticking to original ink cartridges for the time being as the refill procedure provided in the after-market cartridge and ink seemed too cheap and prone to spillage. Even otherwise, original cartridges are easy to use and affordable for home use, when you consider the trouble of going to a shop to get printouts and the cost you pay there."
murali,Reviewed in India on 8 November 2022,"The description says each original cartridge prints around 120 pages, but it lasted only for 50 pages.
After using it only for 1 month i am considering buying another printer because this will drain your pockets like crazy."
mohammad sajid,Reviewed in India on 8 July 2021,No WiFi or mobile connection
BALINDER SINGH Rohilla,Reviewed in India on 27 January 2023,Print quality is not good and too much costly. After 72 pages cartridge is empty .
Tuniki Balaraju,Reviewed in India on 14 July 2021,Not up to the mark
Namita,Reviewed in India on 1 August 2022,"Ordered this for home use for my Dad, it seems to do the job, easy to use and install."
Viswa,Reviewed in India on 14 April 2021,"This product does printing and scanning well. Works as expected. Main problem comes is the ink cartridge. If you shop online original cartridge, it costs ₹800 and more ( for small black catridge that yields just ~190 pages ). That's more costly if you are taking more print out or copy. If you take less pages and do scan, then this is good for you."
Gurudas,Reviewed in India on 4 December 2020,It doesn’t have wifi connection should include in this so air printer and other options goes off
Sree Lakshmi,Reviewed in India on 23 January 2021,Good product we can refill the cartridges . By Using Hp printer refillable kit in Amazon . Good product I recommend to buy .
Tony,Reviewed in India on 12 September 2019,It is cheaper than other printers and it also works good but after some time it gets damage and the cartridge is too expensive and if you refill it and something happen company won't do any service even if it is in warranty.
KALYAN CHAUDHURI,Reviewed in India on 16 June 2021,In the midst of printing suddenly it stopped. Colour and Black Cartridge lights started blinking. I bought a new Black cartridge and installed it. But wit the result that there was no printing as the light on the black cartridge started blinking.
Keerthi G.,Reviewed in India on 27 November 2021,I liked the printing quality
Tunuguntla Mohana Sai,Reviewed in India on 7 November 2020,Printer cartridge can't print 100 pages. It can print up to 50 pages. But print quality is excellent. and also I use to refill cartridge to cut down its price.
jagdish bhatt,Reviewed in India on 19 September 2022,I like this product good performance with reasonable price awesome
Vishwanath Angadi,Reviewed in India on 8 July 2021,Paper getting stuck everytime!
sumathi,Reviewed in India on 15 June 2021,Works well with Windows laptop. Easy to install and use. But it is NOT compatible with Mac.
Tiwary,Reviewed in India on 29 September 2022,Yes it's easy to use and print properly
Mayur,Reviewed in India on 1 October 2021,"I purchased printer, received Black and colour cartage. But colour cartage showing supply low issue, need to buy new one.
I should get replacement for colour cartage, atleast one should be brand new one with printer"
RAJAN HO,Reviewed in India on 16 July 2021,Super quiet printer
VISHISHT KUMAR,Reviewed in India on 11 March 2023, Dilike product me angry 😡 😠😠
Amazon Customer,Reviewed in India on 14 October 2020,Printer is gud to print documents but the colour printing quality is not up to the mark if you print a picture it will be blurry and u can see pixel.
Subha,Reviewed in India on 13 January 2021,The picture says it all... Good for the money 💸... Think before you buy!!
Abhinav Billaiya,Reviewed in India on 22 April 2022,"Currently not working and haven't used much, black cartridge doesn't work after replace with new"
Sumeet Sood,Reviewed in India on 15 May 2021,"I dont know why people are writing negative reviews about this product. This is purely for occasional use at home. The print quality is amazing (both b/w and colour), easy to set up and use. You just need to download the driver and all set for use. I will recommend this product for home and occasional office usage. Best product in this price range."
amit k.,Reviewed in India on 20 October 2022,"Hy writing review after 1 yr. Don't buy as the cartridges are impossible to refill abd even you refill it will not be of use, new catridge cost if more than 1500 and lasts only 40-50 pages. Instead buy toner fitted printer."
Amazon Customer,Reviewed in India on 21 July 2021,Product is good but the ink cartridge price is more then the printer :)
Amazon Customer,Reviewed in India on 12 May 2021,"It is simply impossible to understand as to why HP cannot create a simple installation system. You have to first download an app which then refuses to recognise the printer and keeps asking to ""connect"" the printer when it is already connected! In three days after delivery, I have somehow managed to install the printer on two laptops and still waiting for HP app to work on one more laptop. All in all, utterly third grade product. I had canon printer earlier which was fast easier to install and operate. Not surprisingly, HP has named its printer driver as ""HP Smart"" - it is the dumbest app around"
